Player,Age,Year,Tm,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_per36,GS_per36,MP_per36,FG_per36,FGA_per36,3P_per36,3PA_per36,2P_per36,2PA_per36,FT_per36,FTA_per36,ORB_per36,DRB_per36,TRB_per36,AST_per36,STL_per36,BLK_per36,TOV_per36,PF_per36,PTS_per36,Cluster,PC1,PC2,PC3
Aaron Wiggins,23,2022,OKC,SG,50,35,1209,156,337,42,138,114,199,62,85,51,127,178,68,30,10,54,93,416,1.488833746898263,1.0421836228287842,36.0,4.64516129032258,10.034739454094293,1.250620347394541,4.109181141439206,3.3945409429280398,5.925558312655086,1.846153846153846,2.531017369727047,1.5186104218362284,3.7816377171215882,5.300248138957817,2.0248138957816377,0.8933002481389579,0.2977667493796526,1.607940446650124,2.769230769230769,12.38709677419355,0,-2.1024347414211633,0.27037030198629947,-0.9249422544448295
Aaron Wiggins,24,2023,OKC,SG,70,14,1297,186,363,48,122,138,241,59,71,68,142,210,80,39,15,55,110,479,1.9429452582883577,0.38858905165767155,36.0,5.162683114880493,10.07555898226677,1.3323053199691597,3.386276021588281,3.830377794911334,6.689282960678489,1.6376252891287586,1.9707016191210485,1.887432536622976,3.941403238242097,5.828835774865073,2.220508866615266,1.0824980724749422,0.4163454124903624,1.5265998457979955,3.053199691595991,13.295296838858905,0,-2.0773598406207907,0.7086657256127413,-0.2641434627458808
Aaron Wiggins,26,2024,OKC,SG,76,26,1744,355,728,130,339,225,389,74,89,81,214,295,134,60,18,69,101,914,1.5688073394495414,0.536697247706422,36.0,7.327981651376146,15.027522935779816,2.68348623853211,6.997706422018348,4.644495412844036,8.029816513761467,1.5275229357798166,1.8371559633027523,1.6720183486238531,4.41743119266055,6.089449541284404,2.7660550458715596,1.2385321100917432,0.37155963302752293,1.4243119266055047,2.084862385321101,18.866972477064223,0,-0.3434448573995318,-1.1174413993787016,0.5239509321096614
Al Horford,35,2022,BOS,C,69,69,2005,266,569,89,265,177,304,80,95,108,422,530,232,49,92,65,130,701,1.2389027431421447,1.2389027431421447,36.0,4.776059850374065,10.21645885286783,1.598004987531172,4.758104738154614,3.1780548628428926,5.458354114713217,1.4364089775561097,1.7057356608478802,1.9391521197007482,7.577057356608479,9.516209476309228,4.165586034912718,0.8798004987531172,1.651870324189526,1.167082294264339,2.334164588528678,12.586533665835413,0,-1.3292116848194302,1.5522315965251343,1.9215620190307254
Al Horford,36,2023,BOS,C,63,63,1922,228,479,145,325,83,154,15,21,73,317,390,189,30,61,37,121,616,1.1800208116545265,1.1800208116545265,36.0,4.270551508844953,8.971904266389178,2.7159209157127995,6.087408949011446,1.554630593132154,2.8844953173777315,0.2809573361082206,0.3933402705515089,1.3673257023933403,5.937565036420395,7.304890738813735,3.5400624349635796,0.5619146722164412,1.1425598335067637,0.6930280957336109,2.2663891779396463,11.537981269510926,0,-3.1541772612344237,-0.030240983554315252,1.6726336110751074
Al Horford,38,2024,BOS,C,60,42,1659,195,461,114,314,81,147,34,38,79,290,369,128,36,51,46,81,538,1.301989150090416,0.9113924050632911,36.0,4.231464737793852,10.00361663652803,2.4737793851717904,6.81374321880651,1.7576853526220615,3.189873417721519,0.7377938517179023,0.8245931283905967,1.7142857142857142,6.292947558770344,8.007233273056059,2.7775768535262206,0.7811934900542495,1.1066907775768535,0.9981916817359855,1.7576853526220615,11.674502712477397,0,-2.9242804629399415,0.10766677944464079,0.7291237254255661
Alec Burks,29,2021,NYK,SG,49,5,1255,210,500,102,246,108,254,101,118,21,206,227,107,31,14,49,102,623,1.4055776892430278,0.14342629482071712,36.0,6.0239043824701195,14.342629482071713,2.9258964143426294,7.056573705179282,3.09800796812749,7.28605577689243,2.8972111553784865,3.384860557768924,0.602390438247012,5.909163346613545,6.511553784860558,3.0693227091633464,0.8892430278884462,0.401593625498008,1.4055776892430278,2.9258964143426294,17.870916334661356,0,-0.6801300321250228,-0.8640380109647585,-1.9054316723224975
Alec Burks,30,2022,NYK,SG,81,44,2318,285,728,157,389,128,339,217,264,47,350,397,239,85,26,91,215,944,1.2579810181190683,0.6833477135461604,36.0,4.426229508196721,11.30629853321829,2.4383088869715275,6.041415012942192,1.9879206212251943,5.264883520276101,3.370146678170837,4.100086281276963,0.7299396031061259,5.43572044866264,6.165660051768766,3.711820534943917,1.3201035375323555,0.40379637618636754,1.4132873166522864,3.3390854184641934,14.660914581535806,0,-1.117633257979192,-0.70537851444201,1.784897974583998
Alec Burks,31,2023,DET,SG,51,8,1122,200,459,99,239,101,220,153,188,19,139,158,114,38,8,58,98,652,1.6363636363636365,0.2566844919786096,36.0,6.4171122994652405,14.727272727272728,3.1764705882352944,7.668449197860962,3.240641711229946,7.0588235294117645,4.909090909090908,6.032085561497326,0.6096256684491979,4.459893048128342,5.06951871657754,3.657754010695187,1.2192513368983957,0.2566844919786096,1.86096256684492,3.144385026737968,20.919786096256683,0,0.5095826863209494,-1.6287666811822594,-2.391473271302381
Aleksej Pokusevski,19,2021,OKC,PF,45,28,1090,139,408,58,207,81,201,31,42,30,182,212,97,20,42,99,58,367,1.4862385321100917,0.9247706422018349,36.0,4.590825688073394,13.475229357798167,1.9155963302752295,6.8366972477064225,2.675229357798165,6.638532110091743,1.0238532110091745,1.3871559633027524,0.9908256880733946,6.011009174311927,7.001834862385321,3.2036697247706423,0.6605504587155964,1.3871559633027524,3.269724770642202,1.9155963302752295,12.121100917431193,0,-1.3259444674550485,0.024785297960482375,-1.6040128065302888
Aleksej Pokusevski,20,2022,OKC,PF,61,12,1233,186,456,57,197,129,259,35,50,73,245,318,131,39,38,94,88,464,1.7810218978102188,0.35036496350364965,36.0,5.43065693430657,13.313868613138686,1.6642335766423357,5.751824817518248,3.7664233576642334,7.562043795620438,1.0218978102189782,1.4598540145985401,2.1313868613138687,7.153284671532846,9.284671532846716,3.8248175182481754,1.1386861313868615,1.1094890510948905,2.7445255474452557,2.569343065693431,13.547445255474452,0,-0.8913155963231838,1.188401364954428,-1.0292537581950836
Alex Caruso,26,2021,LAL,PG,58,6,1216,133,305,55,137,78,168,49,76,31,139,170,160,64,15,76,108,370,1.717105263157895,0.17763157894736842,36.0,3.9375,9.029605263157896,1.6282894736842106,4.055921052631579,2.30921052631579,4.973684210526316,1.450657894736842,2.25,0.9177631578947368,4.115131578947368,5.032894736842105,4.7368421052631575,1.894736842105263,0.4440789473684211,2.25,3.1973684210526314,10.953947368421051,0,-2.679833581369396,-0.08904640295924367,-1.4967362198544452
Alex Caruso,27,2022,CHI,SG,41,18,1147,102,256,42,126,60,130,58,73,33,115,148,165,71,15,57,106,304,1.2868352223190933,0.5649520488230165,36.0,3.201394943330427,8.03487358326068,1.3182214472537053,3.954664341761116,1.8831734960767217,4.080209241499564,1.8204010462074978,2.2911944202266783,1.0357454228421972,3.6094158674803833,4.64516129032258,5.178727114210985,2.2284219703574544,0.4707933740191804,1.7890148212728858,3.3269398430688755,9.541412380122058,0,-3.173075721769819,0.018330452894587734,-2.205593976511416
Alex Caruso,28,2023,CHI,PG,67,36,1575,130,286,55,151,75,135,59,73,42,154,196,193,98,46,77,159,374,1.5314285714285714,0.8228571428571428,36.0,2.9714285714285715,6.5371428571428565,1.2571428571428571,3.4514285714285715,1.7142857142857142,3.085714285714286,1.3485714285714285,1.6685714285714286,0.9600000000000001,3.52,4.4799999999999995,4.411428571428572,2.2399999999999998,1.0514285714285716,1.76,3.634285714285714,8.548571428571428,0,-3.6193613628337213,0.4777991065729513,0.1093669098358365
Alex Caruso,30,2024,OKC,SG,54,3,1041,140,314,60,170,80,144,42,51,38,121,159,137,87,30,37,102,382,1.867435158501441,0.10374639769452448,36.0,4.8414985590778095,10.85878962536023,2.07492795389049,5.878962536023055,2.76657060518732,4.979827089337176,1.4524495677233429,1.7636887608069163,1.314121037463977,4.184438040345821,5.498559077809798,4.737752161383285,3.0086455331412103,1.037463976945245,1.2795389048991355,3.5273775216138326,13.210374639769451,0,-2.6307209083090717,0.0012655413163982332,-2.287142405016249
Alex Len,27,2021,TOR,C,64,42,979,171,278,8,25,163,253,73,116,78,182,260,49,20,64,55,127,423,2.3534218590398366,1.5444330949948928,36.0,6.288049029622063,10.22267620020429,0.2941777323799796,0.9193054136874361,5.993871297242084,9.303370786516854,2.684371807967314,4.265577119509704,2.868232890704801,6.692543411644535,9.560776302349336,1.801838610827375,0.7354443309499489,2.3534218590398366,2.0224719101123596,4.670071501532176,15.55464759959142,1,0.25090868562850016,4.494069034761284,-0.6271282937786914
